,ms,accelX,accelY,accelZ,accelWithGX,accelWithGY,accelWithGZ,rotRateAlpha,rotRateBeta,rotRateGamma,interval
0,151.0,0.4,-0.2,-0.1,-2.4000000000000004,2.2,8.6,-12.4,36.300000000000004,52.60000000000001,16
1,168.0,0.7000000000000001,-0.2,-0.1,-2.0,2.2,8.6,-16.3,34.50000000000001,56.2,16
2,185.0,0.9,-0.1,0.0,-1.8,2.3000000000000003,8.700000000000001,-21.1,34.1,56.2,16
3,202.0,0.9,-0.1,0.1,-1.8,2.3000000000000003,8.8,-23.099999999999998,34.0,55.60000000000001,16
4,218.0,1.0,0.0,0.30000000000000004,-1.6,2.4000000000000004,9.1,-25.900000000000002,33.50000000000001,54.800000000000004,16
5,235.0,1.1,0.1,0.6000000000000001,-1.5,2.4000000000000004,9.4,-26.6,35.0,53.0,16
6,252.0,1.1,0.2,0.7000000000000001,-1.5,2.4000000000000004,9.5,-26.300000000000004,35.9,51.70000000000001,16
7,268.0,1.0,0.30000000000000004,0.8,-1.5,2.5,9.700000000000001,-24.7,32.9,48.800000000000004,16
8,285.0,1.0,0.4,0.8,-1.5,2.7,9.8,-23.800000000000004,28.200000000000003,45.099999999999994,16
9,302.0,0.9,0.5,0.9,-1.6,2.8000000000000003,9.9,-23.0,27.0,43.00000000000001,16
10,318.0,0.7000000000000001,0.6000000000000001,1.0,-1.7000000000000002,2.9000000000000004,10.0,-19.5,28.800000000000004,39.9,16
11,335.0,0.6000000000000001,0.7000000000000001,0.9,-1.9000000000000001,3.0,10.0,-14.5,30.9,38.400000000000006,16
12,352.0,0.6000000000000001,0.7000000000000001,0.9,-1.9000000000000001,3.1,10.0,-12.9,31.3,38.300000000000004,16
13,368.0,0.6000000000000001,0.8,0.9,-2.0,3.2,10.0,-12.5,29.400000000000002,37.2,16
14,385.0,0.5,0.7000000000000001,1.0,-2.1,3.1,10.200000000000001,-11.700000000000001,23.800000000000004,36.2,16
15,402.0,0.5,0.7000000000000001,1.0,-2.1,3.2,10.200000000000001,-10.299999999999999,20.900000000000002,36.300000000000004,16
16,418.0,0.6000000000000001,0.7000000000000001,0.9,-2.0,3.2,10.200000000000001,-6.2,18.700000000000003,35.8,16
17,435.0,0.4,0.5,0.7000000000000001,-2.2,3.1,10.0,-1.8000000000000003,18.3,35.3,16
18,452.0,0.5,0.4,0.5,-2.1,3.0,9.8,0.4,15.5,35.699999999999996,16
19,468.0,0.7000000000000001,0.30000000000000004,0.1,-1.8,2.9000000000000004,9.4,3.5,11.4,34.7,16
20,485.0,0.9,0.1,-0.2,-1.6,2.8000000000000003,9.0,5.1000000000000005,9.899999999999999,31.099999999999998,16
21,502.0,0.9,0.1,-0.30000000000000004,-1.6,2.8000000000000003,8.9,5.4,9.8,28.900000000000002,16
22,518.0,0.9,0.0,-0.5,-1.6,2.8000000000000003,8.700000000000001,5.6,7.1000000000000005,25.300000000000004,16
23,535.0,0.9,0.0,-0.6000000000000001,-1.5,2.8000000000000003,8.6,5.2,5.2,21.7,16
24,552.0,0.9,0.0,-0.7000000000000001,-1.4000000000000001,2.8000000000000003,8.5,5.1000000000000005,3.9,19.9,16
25,568.0,1.1,0.0,-0.7000000000000001,-1.2000000000000002,2.9000000000000004,8.4,3.5,4.5,15.2,16
26,585.0,1.0,0.0,-0.6000000000000001,-1.3,2.9000000000000004,8.5,1.0,5.300000000000001,8.600000000000001,16
27,602.0,1.0,0.0,-0.4,-1.4000000000000001,2.9000000000000004,8.8,-0.5,5.8,5.4,16
28,618.0,0.8,0.1,0.0,-1.5,2.9000000000000004,9.0,-2.9,4.7,-0.6000000000000001,16
29,635.0,0.7000000000000001,0.1,0.30000000000000004,-1.6,2.9000000000000004,9.4,-1.9,1.7,-5.1000000000000005,16
30,652.0,0.7000000000000001,0.1,0.4,-1.6,2.9000000000000004,9.5,-0.9000000000000001,1.1,-7.6,16
31,668.0,0.6000000000000001,0.1,0.5,-1.6,3.0,9.600000000000001,1.2000000000000002,0.1,-14.100000000000001,16
32,685.0,0.5,0.2,0.6000000000000001,-1.8,3.0,9.700000000000001,4.4,1.4,-20.900000000000002,16
33,702.0,0.30000000000000004,0.2,0.5,-2.0,3.0,9.600000000000001,8.2,2.4000000000000004,-25.7,16
34,718.0,0.2,0.2,0.5,-2.1,3.0,9.600000000000001,9.2,2.2,-27.400000000000002,16
35,735.0,0.1,0.2,0.4,-2.2,3.0,9.5,10.200000000000001,-0.2,-30.9,16
36,752.0,0.0,0.2,0.4,-2.4000000000000004,3.1,9.5,10.700000000000001,-2.4000000000000004,-33.1,16
37,768.0,-0.1,0.2,0.4,-2.5,3.1,9.5,11.5,-2.8,-34.0,16
38,785.0,-0.2,0.1,0.2,-2.6,3.0,9.4,13.900000000000002,-4.2,-34.50000000000001,16
39,802.0,-0.2,0.0,0.1,-2.6,2.9000000000000004,9.200000000000001,15.6,-3.8,-35.8,16
40,818.0,-0.30000000000000004,-0.1,0.0,-2.7,2.9000000000000004,9.200000000000001,16.1,-2.9,-36.8,16
41,835.0,-0.5,-0.30000000000000004,-0.1,-2.9000000000000004,2.7,9.0,18.5,-1.9,-37.6,16
42,852.0,-0.6000000000000001,-0.30000000000000004,-0.30000000000000004,-3.1,2.7,8.700000000000001,19.700000000000003,-1.6,-36.8,16
43,868.0,-0.6000000000000001,-0.30000000000000004,-0.5,-3.1,2.7,8.6,18.8,-1.7,-36.1,16
44,885.0,-0.5,-0.4,-0.5,-3.1,2.6,8.6,14.800000000000002,-3.9,-33.9,16
45,902.0,-0.4,-0.5,-0.4,-3.0,2.5,8.6,11.6,-5.2,-32.300000000000004,16
46,918.0,-0.4,-0.5,-0.30000000000000004,-3.1,2.5,8.700000000000001,10.0,-4.9,-32.7,16
47,935.0,-0.7000000000000001,-0.5,-0.2,-3.3000000000000003,2.5,8.8,6.600000000000001,-3.6000000000000005,-34.0,16
48,952.0,-0.8,-0.4,0.2,-3.5,2.5,9.200000000000001,4.7,-3.3000000000000007,-32.5,16
49,968.0,-0.8,-0.4,0.30000000000000004,-3.5,2.6,9.3,4.7,-3.0,-31.2,16
50,985.0,-1.0,-0.4,0.4,-3.7,2.5,9.4,6.1000000000000005,-4.300000000000001,-28.800000000000004,16
51,1002.0,-1.0,-0.30000000000000004,0.4,-3.8000000000000003,2.6,9.5,8.0,-7.699999999999999,-25.900000000000002,16
52,1018.0,-1.0,-0.30000000000000004,0.4,-3.8000000000000003,2.6,9.4,9.3,-8.3,-24.3,16
53,1035.0,-1.1,-0.30000000000000004,0.2,-3.9000000000000004,2.6,9.200000000000001,12.4,-9.2,-20.8,16
54,1052.0,-1.0,-0.4,-0.1,-3.8000000000000003,2.6,8.9,14.900000000000002,-9.899999999999999,-17.6,16
55,1068.0,-1.0,-0.4,-0.30000000000000004,-3.8000000000000003,2.6,8.700000000000001,16.200000000000003,-9.899999999999999,-16.200000000000003,16
56,1085.0,-0.9,-0.30000000000000004,-0.6000000000000001,-3.7,2.6,8.4,17.200000000000003,-8.3,-13.700000000000001,16
57,1102.0,-0.9,-0.30000000000000004,-0.8,-3.7,2.7,8.200000000000001,15.5,-8.3,-12.100000000000001,16
58,1118.0,-0.9,-0.2,-0.9,-3.8000000000000003,2.8000000000000003,8.1,13.000000000000002,-8.8,-11.2,16
59,1135.0,-1.0,-0.1,-0.8,-3.9000000000000004,2.9000000000000004,8.1,4.9,-8.4,-8.899999999999999,16
60,1152.0,-1.1,-0.1,-0.5,-3.9000000000000004,2.9000000000000004,8.4,-2.4000000000000004,-7.8,-5.4,16
61,1168.0,-1.0,-0.1,-0.30000000000000004,-3.8000000000000003,2.9000000000000004,8.6,-4.5,-8.0,-3.4,16
62,1185.0,-0.9,-0.1,-0.1,-3.7,2.9000000000000004,8.9,-7.1000000000000005,-8.700000000000001,-0.9000000000000001,16
63,1202.0,-0.7000000000000001,0.0,0.1,-3.5,3.0,9.0,-7.400000000000001,-12.0,1.0,16
64,1219.0,-0.6000000000000001,0.0,0.1,-3.3000000000000003,3.0,9.1,-6.9,-12.8,1.5,16
65,1235.0,-0.4,0.2,0.1,-3.2,3.1,9.1,-5.9,-11.700000000000001,1.4,16
66,1252.0,-0.4,0.2,0.1,-3.1,3.1,9.1,-4.7,-9.700000000000001,0.6000000000000001,16
67,1268.0,-0.4,0.2,0.2,-3.2,3.1,9.200000000000001,-3.9,-8.0,0.4,16
68,1285.0,-0.5,0.2,0.1,-3.2,3.1,9.200000000000001,-1.3,-6.300000000000001,1.5,16
69,1302.0,-0.4,0.1,0.0,-3.1,3.1,9.1,0.4,-5.500000000000001,3.0,16
70,1318.0,-0.30000000000000004,0.1,0.0,-2.9000000000000004,3.0,9.0,0.30000000000000004,-5.2,3.3000000000000007,16
71,1335.0,-0.2,0.0,-0.1,-2.8000000000000003,3.0,9.0,-0.30000000000000004,-5.6,3.3000000000000007,16
72,1352.0,-0.2,0.0,-0.1,-2.8000000000000003,2.9000000000000004,9.0,0.1,-5.6,2.8,16
73,1368.0,-0.1,-0.1,-0.1,-2.7,2.9000000000000004,8.9,0.30000000000000004,-6.1000000000000005,2.6,16
74,1385.0,-0.1,-0.1,-0.2,-2.8000000000000003,2.9000000000000004,8.9,0.6000000000000001,-5.500000000000001,1.5,16
75,1402.0,-0.2,-0.1,-0.2,-2.8000000000000003,2.9000000000000004,8.9,0.8,-2.9,0.7,16
76,1418.0,-0.2,-0.1,-0.2,-2.8000000000000003,2.9000000000000004,8.8,-0.6000000000000001,-0.5,1.0,16
77,1435.0,-0.2,-0.1,-0.1,-2.9000000000000004,2.8000000000000003,8.9,-2.2,-0.8,0.9000000000000001,16
78,1452.0,-0.30000000000000004,-0.1,0.0,-3.0,2.9000000000000004,9.1,-4.9,-2.5,0.8,16
79,1468.0,-0.4,0.0,0.2,-3.0,2.9000000000000004,9.200000000000001,-4.300000000000001,-5.500000000000001,1.8000000000000003,16
80,1485.0,-0.30000000000000004,-0.1,0.1,-3.0,2.8000000000000003,9.200000000000001,-3.0,-5.8,2.1,16
81,1502.0,-0.30000000000000004,0.0,-0.1,-2.9000000000000004,2.9000000000000004,9.0,-0.9000000000000001,-3.9,2.3,16
82,1518.0,-0.30000000000000004,0.1,-0.30000000000000004,-3.0,2.9000000000000004,8.8,-1.4,-1.3,1.7,16
83,1535.0,-0.30000000000000004,0.0,-0.30000000000000004,-3.0,2.9000000000000004,8.700000000000001,-2.4000000000000004,-0.7,1.7,16
84,1552.0,-0.4,0.1,-0.2,-3.0,3.0,8.8,-5.0,-0.2,2.8,16
85,1568.0,-0.30000000000000004,0.2,-0.2,-3.0,3.1,8.9,-7.699999999999999,-2.2,3.6000000000000005,16
86,1585.0,-0.30000000000000004,0.2,-0.1,-3.0,3.1,9.0,-8.5,-2.3,3.7000000000000006,16
87,1602.0,-0.30000000000000004,0.30000000000000004,0.1,-3.0,3.1,9.200000000000001,-7.400000000000001,-2.3,3.7000000000000006,16
88,1618.0,-0.4,0.30000000000000004,0.0,-3.0,3.1,9.1,-4.2,-0.2,4.7,16
89,1635.0,-0.30000000000000004,0.30000000000000004,0.0,-3.0,3.1,9.0,-3.3000000000000007,0.9000000000000001,5.4,16
90,1652.0,-0.2,0.30000000000000004,-0.2,-2.9000000000000004,3.2,8.9,-4.6,1.6,6.500000000000001,16
91,1668.0,-0.1,0.30000000000000004,0.0,-2.8000000000000003,3.1,9.1,-7.500000000000001,0.2,7.200000000000001,16
92,1685.0,-0.1,0.30000000000000004,0.1,-2.8000000000000003,3.1,9.200000000000001,-8.3,0.2,7.300000000000001,16
93,1702.0,-0.1,0.2,0.2,-2.8000000000000003,3.0,9.4,-7.699999999999999,-1.4,7.699999999999999,16
94,1718.0,-0.1,0.2,0.30000000000000004,-2.7,3.0,9.4,-6.0,-1.7,8.0,16
95,1735.0,0.0,0.1,0.30000000000000004,-2.7,3.0,9.4,-5.1000000000000005,-1.4,8.0,16
96,1751.0,0.1,0.1,0.2,-2.6,2.9000000000000004,9.4,-3.3000000000000007,-1.6,8.4,16
97,1768.0,0.2,0.0,0.2,-2.4000000000000004,2.9000000000000004,9.3,-1.6,-0.5,7.8,16
98,1785.0,0.2,0.0,0.2,-2.4000000000000004,2.8000000000000003,9.3,-1.1,0.1,7.0,16
99,1802.0,0.2,0.0,0.1,-2.4000000000000004,2.8000000000000003,9.200000000000001,-0.4,-0.7,5.1000000000000005,16
100,1818.0,0.2,-0.1,0.0,-2.4000000000000004,2.7,9.200000000000001,0.5,-1.3,3.6000000000000005,16
101,1835.0,0.2,-0.1,0.0,-2.4000000000000004,2.7,9.1,1.0,-1.3,3.3000000000000007,16
102,1852.0,0.2,-0.1,-0.2,-2.3000000000000003,2.8000000000000003,9.0,1.2000000000000002,0.2,1.7,16
103,1868.0,0.1,-0.1,-0.2,-2.5,2.8000000000000003,9.0,-0.4,0.8,0.1,16
104,1885.0,0.0,0.0,-0.2,-2.5,2.8000000000000003,8.9,-1.3,0.0,0.0,16
105,1902.0,0.0,0.0,-0.1,-2.6,2.8000000000000003,9.0,-2.8,-1.6,0.2,16
106,1918.0,0.0,0.0,-0.1,-2.6,2.8000000000000003,9.1,-3.4,0.0,0.0,16
107,1935.0,0.0,0.0,0.0,-2.6,2.9000000000000004,9.1,-3.1,-0.1,0.0,16
108,1952.0,-0.1,0.0,0.0,-2.6,2.8000000000000003,9.200000000000001,-2.2,-0.5,0.1,16
109,1968.0,0.0,0.0,0.0,-2.6,2.8000000000000003,9.1,-1.6,-1.0,0.4,16
110,1985.0,-0.1,0.1,0.0,-2.7,2.8000000000000003,9.200000000000001,-1.6,-0.5,0.30000000000000004,16
111,2002.0,-0.1,0.0,0.1,-2.7,2.8000000000000003,9.200000000000001,-1.4,-0.30000000000000004,0.0,16
112,2018.0,-0.1,0.1,0.0,-2.7,2.8000000000000003,9.200000000000001,-1.7,-0.2,0.30000000000000004,16
113,2035.0,-0.1,0.0,0.0,-2.7,2.8000000000000003,9.1,-2.0,-0.5,0.2,16
